67,0,0,66,0,1.2,0,1,173,0,0,140,200,2.9,0,1
65,0,0,69,0,1.2,0,1,168,0,0,99,10,1.3,0,1
50,0,0,62,0,1.2,0,1,166,70,2,104,3,1.3,0,1
65,0,0,65,0,1.2,0,1,167,0,0,89,0,1.3,0,1
100,0,0,67,0,1.2,0,1,178,0,0,90,0,1.3,0,1
130,0,0,68,0,1.2,0,1,167,0,0,93,4,1.3,0,1
150,0,0,72,0,1.2,0,1,178,50,0,95,0,1.3,0,1
160,0,0,78,0,1.2,0,1,177,0,0.89,100,600,1.3,0,1
140,0,0,69,300,1.3,0,1,170,0,0,87,0,1.3,0,1
120,55,0,77,20,1.3,0.2,2,165,0,0,85,0,1.3,0,1
200,0,0.77,80,0,2,0.11,3,163,0,0,70,0,1.2,0,1
220,0,0,150,4000,2.45,0.5,4,160,0,0,74,0,1.2,0,1
200,65,0,140,201,2,0,1,155,0,0,72,0,1.2,0,1
199,0,1.2,100,300,1.5,0,1,160,0,0,69,0,1.2,0,1
180,0,0,90,0,1.3,0,1,161,0,0,68,0,1.2,0,1
170,0,0,80,0,1.3,0,1,167,0,0,63,0,1.2,0,1
160,80,0,78,0,1.3,0,1,150,0,0,61,0,1.2,0,1
150,0,4,83,0,1.3,0,1,150,0,0,74,0,1.2,0,1
140,0,0,73,0,1.3,0,1,149,0,0,73,0,1.2,0,1
142,0,0,74,0,1.3,0,1,150,0,0,79,0,1.2,0,1
143,0,0,73,0,1.3,0,1,150,0,0,80,0,1.3,0,1
159,0,0,72,0,1.3,0,1,200,60,1,81,0,1.3,0,1
180,0,0,70,20,1.2,0,1,170,0,0,84,0,1.3,0,1
160,0,0,65,0,1.2,0,1,170,0,0,90,0,1.3,0,1
130,0,0,62,0,1.2,0,1,201,76,0,95,30,1.3,0,1
120,0,0,62,0,1.2,0,1,210,0,2.9,92,100,1.3,0,1
190,0,0,60,0,1.2,0,1,190,0,0,100,800,1.3,0,1
180,0,0,61,0,1.2,0,1,180,0,0,95,400,1.3,0,1
170,0,0,67,0,1.2,0,1,240,80,0,91,0,1.3,0,1
167,0,0,69,0,1.2,0,1,200,0,3.89,99,100,1.6,0.101,2
198,0,0,79,0,1.2,0,1,190,0,0,100,500,1.9,0.211,3
120,0,0,66,0,1.2,0,1,200,0,0,120,3500,3,0.299,3
100,0,0,62,0,1.2,0,1,240,0,0,130,900,2,0.12,3
90,0,0,70,0,1.3,0,1,190,0,0,110,0,1.3,0,1
160,55,0.9,76,0,1.3,0,1,180,0,0,100,0,1.2,0,1
180,0,0,80,0,1.3,0,1,130,0,0,80,0,1.2,0,1
175,0,0,83,0,1.3,0,1,120,0,0,70,0,1.2,0,1
176,0,0,99,0,1.3,0,1,130,0,0,60,0,1.2,0,1
189,60,0,100,0,1.3,0,1,100,0,0,59,0,1.2,0,1
200,0,0,78,0,1.3,0,1,70,0,0,61,0,1.2,0,1
212,0,2,90,0,1.3,0,1,50,0,0,65,0,1.2,0,1
187,0,0,111,100,1.7,0.11,2,49,0,0,66,0,1.2,0,1
167,86,0,120,200,2,0.2,2,59,0,0,69,0,1.2,0,1
120,0,3.89,130,3000,3.3,0.3,3,100,0,0,62,0,1.2,0,1
100,0,0,100,10,1.3,0,1,140,0,0,80,0,1.2,0,1
90,0,0,95,1,1.3,0,1,160,0,0,81,600,1.5,0.1,2
80,0,0,70,0,1.2,0,1,170,70,0,100,1000,1.3,0,1
70,0,0,68,0,1.2,0,1,200,0,1.9,155,4300,2.998,0.55,4
60,0,0,65,0,1.2,0,1,180,0,0,140,300,1.98,0.3,3
50,0,0,63,0,1.2,0,1,170,0,0,99,0,1.3,0,1
55,0,0,61,0,1.2,0,1,200,66,0,100,0,1.3,0,1
58,0,0,60,0,1.2,0,1,230,0,0,90,0,1.3,0,1
70,0,0,70,0,1.2,0,1,250,0,0.8,87,0,1.3,0,1
90,0,0,60,0,1.2,0,1,190,0,0,83,0,1.3,0,1
120,0,0,70,0,1.2,0,1,170,79,2,8489,0,1.3,0,1
130,0,0,63,0,1.2,0,1,180,0,0,79,0,1.3,0,1
140,0,0,64,0,1.3,0,1,170,0,0,90,0,1.3,0,1
160,45,0.3,75,0,1.3,0,1,169,0,0,94,0,1.3,0,1
150,0,0,85,0,1.3,0,1,165,0,0,96,0,1.2,0,1
145,0,0,94,0,1.3,0,1,166,0,0,99,0,1.2,0,1
155,70,1.9,100,0,1.3,0,1,169,0,0,80,0,1.2,0,1
176,0,0,95,0,1.3,0,1,170,0,0,78,0,1.2,0,1
163,0,0,111,0,1.3,0,1,165,0,0,74,0,1.2,0,1
158,0,0,98,0,1.3,0,1,159,0,0,71,0,1.2,0,1
200,67,1.2,97,0,1.3,0,1,160,0,0,68,0,1.2,0,1
179,0,0,88,0,1.3,0,1,161,0,0,66,0,1.2,0,1
165,0,0,86,0,1.3,0,1,12,0,0,60,0,1.2,0,1
170,0,0,85,0,1.3,0,1,164,0,0,70,0,1.2,0,1
156,0,0,80,0,1.3,0,1,150,0,0,60,0,1.2,0,1
169,0,0,80,80,1.3,0,1,140,0,0,64,0,1.2,0,1
164,0,0,80,0,1.2,0,1,150,45,0.3,75,0,1.3,0,1
152,0,0,70,0,1.2,0,1,160,0,0,74,0,1.3,0,1
